COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
563,125,675,00-10,49
563,125,675,10-18,79
563,125,675,18-00,9
563,125,683,00-10,2
563,125,683,18-00,1
563,125,2032,10-18,16
563,125,2032,18-00,3
563,127,698,00-10,2
563,127,698,10-18,3
563,127,698,18-00,1
563,127,702,10-18,2
563,127,708,00-10,13
563,127,708,10-18,5
563,127,708,18-00,6
563,127,710,10-18,10
563,127,1878,00-10,1
563,127,1878,10-18,1
563,127,1878,18-00,1
563,127,2411,00-10,18
563,127,2411,10-18,6
563,127,2411,18-00,2
563,127,2526,00-10,6
563,127,2668,00-10,1
563,127,2668,18-00,1
563,127,2671,00-10,13
563,127,2671,10-18,5
563,127,2671,18-00,1
563,127,2673,10-18,1
563,127,2675,10-18,1
563,127,3191,10-18,16
563,133,2984,00-10,24
563,133,2986,00-10,4
563,133,2986,18-00,1
563,427,86,00-10,176
563,427,86,10-18,291
563,427,86,18-00,115
563,427,87,00-10,1
563,427,88,00-10,18
563,427,1956,00-10,19
563,427,2126,10-18,49
563,427,2126,18-00,11
563,427,2127,10-18,8
563,427,2127,18-00,4
563,427,2359,00-10,44
563,427,2359,10-18,48
563,427,2359,18-00,11
563,427,2362,00-10,16
563,427,2362,10-18,78
563,427,2362,18-00,5
563,427,2634,10-18,4
563,427,2634,18-00,13
563,456,101,00-10,8
563,456,2089,00-10,99
563,456,2089,10-18,113
563,456,2089,18-00,28
563,456,2997,00-10,27
563,456,2997,10-18,8
563,456,2997,18-00,20
563,494,129,00-10,96
563,494,129,10-18,114
563,494,129,18-00,94
563,494,2628,00-10,4
563,494,2628,10-18,107
563,494,2628,18-00,7
563,494,2653,00-10,41
563,494,2653,10-18,107
563,494,2653,18-00,78
563,494,2733,00-10,4
563,494,2902,00-10,10
563,494,2902,10-18,87
563,494,2902,18-00,42
563,494,3303,10-18,21
563,494,3305,10-18,9
563,494,3307,10-18,33
563,495,141,00-10,42
563,495,7465,00-10,1
563,524,186,00-10,151
563,524,186,10-18,158
563,524,186,18-00,64
563,524,2102,00-10,1
563,538,205,00-10,33
563,538,205,10-18,9
563,538,205,18-00,46
563,538,207,00-10,7
563,538,2091,00-10,61
563,538,2091,10-18,76
563,538,2091,18-00,22
563,538,2103,00-10,12
563,538,2605,10-18,4
563,538,8199,00-10,11
563,538,8199,10-18,16
563,538,8199,18-00,7
563,538,8216,00-10,5
563,582,220,00-10,308
563,582,220,10-18,716
563,582,220,18-00,310
563,582,222,00-10,4
563,582,222,18-00,1
563,G,3338,00-10,73
563,G,3338,10-18,79
563,G,3338,18-00,23
563,G,3382,00-10,5
563,G,3382,10-18,42
563,G,3382,18-00,4
563,G,3649,00-10,3
563,G,3649,10-18,1
563,G,3649,18-00,6
564,124,650,00-10,431
564,124,650,10-18,735
564,124,650,18-00,140
564,124,2172,00-10,15
564,124,2172,10-18,2
564,125,675,00-10,265
564,125,675,10-18,518
564,125,675,18-00,72
564,125,683,00-10,7
564,125,683,10-18,5
564,125,683,18-00,3
564,125,2032,00-10,11
564,125,2032,10-18,89
564,125,2032,18-00,16
564,127,698,00-10,17
564,127,698,10-18,3
564,127,698,18-00,13
564,127,702,10-18,6
564,127,708,00-10,28
564,127,708,10-18,57
564,127,708,18-00,16
564,127,710,10-18,25
564,127,1878,00-10,9
564,127,1878,10-18,27
564,127,1878,18-00,2
564,127,2411,00-10,64
564,127,2411,10-18,55
564,127,2411,18-00,16
